,type,epoch,top1,top5,loss,time,grad_norm,network_norm,trainable_params,round,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
0,train,0,0.9529333333333333,0.9981,0.0006707322802394629,4.0,18.035950848212558,32.03336510983558,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,5,MLP,backprop,MLP_backprop
1,test,0,0.9488,0.9975,0.000718191958963871,,,,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,5,MLP,backprop,MLP_backprop
2,train,1,0.9677333333333333,0.9989833333333333,0.00046691190035392843,3.9,25.825935192548968,33.035895281886226,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,5,MLP,backprop,MLP_backprop
3,test,1,0.9622,0.9984,0.0005451153054833412,,,,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,5,MLP,backprop,MLP_backprop
4,train,2,0.9762333333333333,0.9994833333333333,0.00035798989851027727,3.9,32.18963039830241,33.95819706101603,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,5,MLP,backprop,MLP_backprop
5,test,2,0.9658,0.9987,0.0004745994918048382,,,,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,5,MLP,backprop,MLP_backprop
6,train,3,0.9809,0.9997,0.00028932267452279727,4.0,38.207876825189686,34.83076890985924,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,5,MLP,backprop,MLP_backprop
7,test,3,0.9691,0.999,0.00042977113462984564,,,,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,5,MLP,backprop,MLP_backprop
8,train,4,0.9842,0.9997666666666667,0.0002381527954402069,3.9,43.59603115223312,35.66953730451618,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,5,MLP,backprop,MLP_backprop
9,test,4,0.9704,0.9991,0.0004092412855476141,,,,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,5,MLP,backprop,MLP_backprop
0,train,0,0.9869833333333333,0.9998333333333334,0.0002017760840555032,3.9,48.53806288657769,36.72852588659102,135072,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,5,MLP,backprop,MLP_backprop
1,test,0,0.9713,0.999,0.00040076612122356893,,,,135072,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,5,MLP,backprop,MLP_backprop
2,train,1,0.9899,0.9999166666666667,0.00016575299700101218,4.0,53.24891628949414,37.65577638604351,135072,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,5,MLP,backprop,MLP_backprop
