,type,epoch,top1,top5,loss,time,grad_norm,network_norm,layer,round,trainable_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
0,train,0,0.9530166666666666,0.9981,0.0006567965425550938,7.7,0.3588746840299721,32.02644427315063,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9492,0.9979,0.0007061605677008629,,,,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9687833333333333,0.9992,0.00044997958019375804,6.7,0.29694674548998923,33.002234401645296,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9581,0.9982,0.0005560823567211628,,,,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.9758666666666667,0.99965,0.00035116335445394117,6.6,0.2554845514419555,33.88948942946568,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9653,0.999,0.0004773366089910269,,,,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9762166666666666,0.9995166666666667,0.0003508703922852874,6.6,12.65529991104226,33.81423813370047,1,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9651,0.9988,0.0004798230975866318,,,,1,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9760166666666666,0.9996,0.00035200147417684396,6.7,25.321392832765437,33.739192169043115,1,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9646,0.9986,0.00048142072036862373,,,,1,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.9762333333333333,0.9996166666666667,0.000351519370265305,6.6,38.07756578243651,33.664332187576385,1,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9648,0.9986,0.0004790328711271286,,,,1,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9765,0.9995666666666667,0.0003524526328469316,6.6,5.030898465250655,33.58968635605572,2,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9637,0.9986,0.00048170151375234125,,,,2,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9764666666666667,0.9996166666666667,0.00035508912323663634,6.6,10.08930133010136,33.51522180053438,2,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9643,0.9987,0.00048492051661014557,,,,2,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.9760333333333333,0.9995833333333334,0.0003564459665368001,6.5,15.115607299542026,33.44093246944332,2,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9635,0.9989,0.0004840795889496803,,,,2,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9821166666666666,0.99975,0.0002721741179935634,6.5,0.23689508048262994,34.65038461771888,0,1,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9678,0.9991,0.0004384503711014986,,,,0,1,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9856,0.9998833333333333,0.0002218807273854812,6.5,0.16692101620029828,35.622183275096354,0,1,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9687,0.9994,0.0004137398932129145,,,,0,1,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.98875,0.9999166666666667,0.00017556414299954972,6.5,0.2523407885071392,36.57562987932428,0,1,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9719,0.999,0.00037556595131754873,,,,0,1,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9887333333333334,0.9999,0.00017841518802257875,6.5,43.33250979307926,36.49348428129689,1,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9715,0.9994,0.00038308024369180203,,,,1,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9886333333333334,0.9999,0.00017912480539331832,6.5,50.51570792681296,36.41154955557328,1,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9721,0.9991,0.0003825742769986391,,,,1,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.9886666666666667,0.9999333333333333,0.00017971116608629623,6.5,59.05231580838391,36.32984390925059,1,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9717,0.9992,0.0003798934642225504,,,,1,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9889666666666667,0.9999,0.00018014139086008072,6.5,16.97738214455877,36.2483289119911,2,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9727,0.9992,0.00037812607474625113,,,,2,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.98835,0.9999,0.0001823477439271907,6.5,19.633472606752054,36.1670301490613,2,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9716,0.9989,0.0003826414804905653,,,,2,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.98885,0.9999166666666667,0.00018288735539341968,6.8,23.00545350053759,36.08593748297616,2,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9716,0.9992,0.00038114579897373916,,,,2,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9903833333333333,0.9998666666666667,0.00015341615108773114,6.7,0.21806851348720846,37.140246937689945,0,2,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9712,0.9992,0.00037297821752727033,,,,0,2,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9928166666666667,0.9999333333333333,0.0001265506317683806,6.6,0.2681365704280341,38.082348516375774,0,2,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9723,0.9997,0.0003688089579343796,,,,0,2,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.99435,0.9999833333333333,0.00010952407301714023,6.6,0.1683244901285075,38.94545016155967,0,2,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9733,0.9995,0.000359589996188879,,,,0,2,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9942333333333333,0.9999666666666667,0.00010994975403882563,6.6,58.45541827526951,38.85728441251184,1,2,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9726,0.9994,0.00035585850439965726,,,,1,2,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9939166666666667,0.9999833333333333,0.00010964560381447276,6.7,61.82132476055519,38.76934780445309,1,2,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.973,0.9995,0.00035589654818177224,,,,1,2,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.9943,0.9999666666666667,0.00011001639878377319,6.6,68.49736363798526,38.681615418238586,1,2,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9738,0.9995,0.0003532637875527143,,,,1,2,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9941333333333333,0.9999666666666667,0.00011169456049489478,6.6,22.99321033095352,38.594108036626466,2,2,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9731,0.9992,0.00035318229496479034,,,,2,2,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9940666666666667,0.9999666666666667,0.00011245064386166632,6.5,24.077577496618595,38.506837687648115,2,2,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9732,0.9996,0.0003510642644017935,,,,2,2,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.99395,0.9999666666666667,0.00011271982717638215,6.6,26.256902894590805,38.41977571123578,2,2,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9719,0.9995,0.00036034590564668176,,,,2,2,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9945,0.9999833333333333,0.00010216567805036902,6.6,0.21757118620321073,39.445901612989275,0,3,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9718,0.9995,0.00037392062190920114,,,,0,3,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.99565,1.0,8.516068080595384e-05,6.5,0.10305457920420322,40.288923412163555,0,3,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
