,type,epoch,top1,top5,loss,time,layer,round,trainable_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
0,train,0,0.95425,0.9980666666666667,0.0006475701389213403,8.2,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,layerwise,MLP_layerwise
1,test,0,0.9499,0.9982,0.0006896838739514351,,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,layerwise,MLP_layerwise
2,train,1,0.9694166666666667,0.9992666666666666,0.0004387930750846863,7.2,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,layerwise,MLP_layerwise
3,test,1,0.9604,0.9986,0.0005342209808528424,,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,layerwise,MLP_layerwise
4,train,2,0.9770166666666666,0.9995833333333334,0.0003378434179350734,7.3,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,layerwise,MLP_layerwise
5,test,2,0.9667,0.9991,0.00046005440577864647,,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,layerwise,MLP_layerwise
6,train,3,0.9822666666666666,0.9997166666666667,0.0002704422025941312,7.3,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,layerwise,MLP_layerwise
7,test,3,0.9703,0.999,0.00041454208865761755,,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,layerwise,MLP_layerwise
8,train,4,0.98515,0.9998166666666667,0.00022260820977389813,7.3,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,layerwise,MLP_layerwise
9,test,4,0.9703,0.999,0.00039856208823621275,,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,layerwise,MLP_layerwise
10,train,5,0.9881,0.9998166666666667,0.0001853489582426846,6.9,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,layerwise,MLP_layerwise
11,test,5,0.9726,0.9991,0.0003738634511828423,,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,layerwise,MLP_layerwise
12,train,6,0.9896166666666667,0.9999,0.00016129015125334264,7.1,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,layerwise,MLP_layerwise
13,test,6,0.9718,0.9994,0.00037204748559743165,,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,layerwise,MLP_layerwise
14,train,7,0.9921333333333333,0.9999333333333333,0.0001379183797010531,7.2,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,layerwise,MLP_layerwise
15,test,7,0.974,0.9993,0.0003543221428990364,,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,layerwise,MLP_layerwise
16,train,8,0.9936,0.9999666666666667,0.00011799632622860371,7.1,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,layerwise,MLP_layerwise
17,test,8,0.9763,0.9995,0.00033923110403120515,,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,layerwise,MLP_layerwise
18,train,9,0.9949166666666667,0.9999666666666667,0.00010224985498934984,7.0,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,layerwise,MLP_layerwise
19,test,9,0.9754,0.9995,0.0003479997841641307,,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,layerwise,MLP_layerwise
20,train,10,0.99525,1.0,9.207745197539528e-05,7.3,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,layerwise,MLP_layerwise
21,test,10,0.9742,0.9994,0.0003537392057478428,,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,layerwise,MLP_layerwise
22,train,11,0.99625,0.9999833333333333,7.766492934897541e-05,7.0,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,layerwise,MLP_layerwise
23,test,11,0.9764,0.9996,0.000331840767711401,,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,layerwise,MLP_layerwise
24,train,12,0.99605,1.0,7.674501834747692e-05,6.8,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,layerwise,MLP_layerwise
25,test,12,0.9748,0.9993,0.0003479700967669487,,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,layerwise,MLP_layerwise
26,train,13,0.99735,1.0,6.244535160561403e-05,6.9,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,layerwise,MLP_layerwise
