,type,epoch,top1,top5,loss,time,layer,layer_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,model
0,train,0,0.41094,0.8806,366.1606466770172,5.0,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
1,test,0,0.4087,0.8787,0.0066860153436660765,,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
2,train,1,,,320.1767346858978,5.1,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
3,test,1,,,,,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
4,train,2,,,303.87024462223053,4.9,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
5,test,2,,,,,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
6,train,3,,,293.2776528596878,5.0,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
7,test,3,,,,,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
8,train,4,,,283.25775825977325,5.0,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
9,test,4,,,,,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
10,train,5,0.5292,0.93608,276.78892707824707,5.0,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
11,test,5,0.5159,0.9318,0.005505991339683533,,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
12,train,6,,,269.59398126602173,5.1,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
13,test,6,,,,,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
14,train,7,,,266.26337361335754,5.1,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
15,test,7,,,,,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
16,train,8,,,263.4020086526871,4.9,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
17,test,8,,,,,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
18,train,9,0.55662,0.94434,260.8694919347763,4.9,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
19,test,9,0.5318,0.9409,0.005304374277591705,,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
0,train,0,0.50196,0.92786,307.3345934152603,4.9,1,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
1,test,0,0.484,0.9247,0.005792076516151428,,1,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
2,train,1,,,279.5590534210205,5.0,1,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
3,test,1,,,,,1,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
4,train,2,,,271.8246123790741,5.1,1,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
5,test,2,,,,,1,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
6,train,3,,,268.08669221401215,5.0,1,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
7,test,3,,,,,1,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
8,train,4,,,264.63290870189667,4.9,1,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
9,test,4,,,,,1,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
10,train,5,0.5516,0.94278,262.2167618274689,4.9,1,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
11,test,5,0.5258,0.9374,0.005362991404533386,,1,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
12,train,6,,,261.43747079372406,4.9,1,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
13,test,6,,,,,1,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
14,train,7,,,259.12531220912933,4.8,1,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
15,test,7,,,,,1,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
16,train,8,,,257.7802530527115,5.0,1,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
17,test,8,,,,,1,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
18,train,9,0.5612,0.94416,256.4995902776718,4.9,1,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
19,test,9,0.529,0.9405,0.005301278221607208,,1,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
0,train,0,0.54098,0.9373,278.51235258579254,4.9,2,14626,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
1,test,0,0.5162,0.9324,0.005494523191452026,,2,14626,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
2,train,1,,,262.68254566192627,5.2,2,14626,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
3,test,1,,,,,2,14626,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
