,type,epoch,top1,top5,loss,time,layer,layer_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,model
4,train,2,,,259.38974368572235,4.9,2,14626,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
5,test,2,,,,,2,14626,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
6,train,3,,,257.1740617752075,5.0,2,14626,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
7,test,3,,,,,2,14626,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
8,train,4,,,255.8719526529312,4.9,2,14626,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
9,test,4,,,,,2,14626,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
10,train,5,0.56374,0.94612,254.39298558235168,5.1,2,14626,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
11,test,5,0.535,0.9392,0.005284766864776611,,2,14626,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
12,train,6,,,253.02997183799744,5.0,2,14626,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
13,test,6,,,,,2,14626,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
14,train,7,,,252.30115962028503,5.1,2,14626,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
15,test,7,,,,,2,14626,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
16,train,8,,,251.911696434021,5.0,2,14626,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
17,test,8,,,,,2,14626,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
18,train,9,0.55464,0.9374,250.99862599372864,5.0,2,14626,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
19,test,9,0.5236,0.9298,0.005453312420845032,,2,14626,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
0,train,0,0.56906,0.94778,254.42152428627014,5.2,3,14956,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
1,test,0,0.5366,0.9388,0.00525880901813507,,3,14956,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
2,train,1,,,249.56846976280212,5.0,3,14956,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
3,test,1,,,,,3,14956,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
4,train,2,,,249.31030333042145,5.0,3,14956,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
5,test,2,,,,,3,14956,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
6,train,3,,,247.5258505344391,4.8,3,14956,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
7,test,3,,,,,3,14956,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
8,train,4,,,248.2950189113617,4.9,3,14956,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
9,test,4,,,,,3,14956,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
10,train,5,0.57766,0.95032,246.18889677524567,5.0,3,14956,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
11,test,5,0.5433,0.9412,0.005179707980155945,,3,14956,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
12,train,6,,,245.7540431022644,5.1,3,14956,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
13,test,6,,,,,3,14956,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
14,train,7,,,245.99709033966064,4.9,3,14956,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
15,test,7,,,,,3,14956,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
16,train,8,,,244.1395581960678,4.8,3,14956,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
17,test,8,,,,,3,14956,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
18,train,9,0.58286,0.94964,244.64757120609283,5.0,3,14956,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
19,test,9,0.5468,0.9425,0.0052013161897659305,,3,14956,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
0,train,0,0.58556,0.95238,244.16329503059387,4.9,4,15286,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
1,test,0,0.551,0.9431,0.005156756269931793,,4,15286,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
2,train,1,,,242.78396010398865,4.9,4,15286,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
3,test,1,,,,,4,15286,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
4,train,2,,,241.51414346694946,5.0,4,15286,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
5,test,2,,,,,4,15286,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
6,train,3,,,241.05320119857788,4.9,4,15286,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
7,test,3,,,,,4,15286,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
8,train,4,,,240.00855493545532,4.9,4,15286,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
9,test,4,,,,,4,15286,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
10,train,5,0.58266,0.95278,239.86289012432098,5.0,4,15286,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
11,test,5,0.5443,0.9425,0.005144427061080933,,4,15286,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
12,train,6,,,238.9654450416565,4.9,4,15286,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
13,test,6,,,,,4,15286,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
14,train,7,,,238.27105379104614,5.2,4,15286,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
15,test,7,,,,,4,15286,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
16,train,8,,,238.17350041866302,5.0,4,15286,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
17,test,8,,,,,4,15286,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
18,train,9,0.59182,0.9552,237.13372993469238,4.9,4,15286,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
19,test,9,0.5495,0.9464,0.005099304413795471,,4,15286,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
0,train,0,0.5854,0.95266,242.97364211082458,5.0,5,15616,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
1,test,0,0.5452,0.9435,0.005171919429302216,,5,15616,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
2,train,1,,,236.97819936275482,5.0,5,15616,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
3,test,1,,,,,5,15616,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
4,train,2,,,235.84787195920944,4.9,5,15616,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
5,test,2,,,,,5,15616,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
6,train,3,,,236.06244707107544,4.9,5,15616,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
7,test,3,,,,,5,15616,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
8,train,4,,,234.97004264593124,4.9,5,15616,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
9,test,4,,,,,5,15616,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
10,train,5,0.59416,0.9552,235.7564219236374,5.0,5,15616,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
11,test,5,0.5538,0.945,0.005068378758430481,,5,15616,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
12,train,6,,,234.6664201617241,5.0,5,15616,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
13,test,6,,,,,5,15616,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
14,train,7,,,233.7150668501854,4.9,5,15616,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
15,test,7,,,,,5,15616,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
16,train,8,,,232.71873658895493,4.8,5,15616,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
17,test,8,,,,,5,15616,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
18,train,9,0.6013,0.95666,233.50484144687653,4.9,5,15616,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
19,test,9,0.5611,0.9495,0.005004230070114136,,5,15616,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN
