,type,epoch,top1,top5,loss,time,layer,layer_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,model
7,test,3,,,,,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
8,train,4,,,276.7380883693695,4.9,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
9,test,4,,,,,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
10,train,5,0.51268,0.92826,276.1411883831024,5.0,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
11,test,5,0.4916,0.921,0.005790635085105896,,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
12,train,6,,,275.7341077327728,5.3,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
13,test,6,,,,,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
14,train,7,,,275.5510907173157,5.2,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
15,test,7,,,,,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
16,train,8,,,275.33868312835693,5.0,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
17,test,8,,,,,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
18,train,9,0.5177,0.92912,275.2578947544098,4.8,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
19,test,9,0.4997,0.9205,0.005762030112743378,,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
0,train,0,0.51434,0.92956,276.12607753276825,4.9,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
1,test,0,0.4941,0.9208,0.0057709941148757936,,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
2,train,1,,,275.321542263031,5.0,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
3,test,1,,,,,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
4,train,2,,,275.0846699476242,5.0,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
5,test,2,,,,,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
6,train,3,,,274.7962723970413,4.9,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
7,test,3,,,,,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
8,train,4,,,274.862140417099,5.0,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
9,test,4,,,,,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
10,train,5,0.51978,0.92932,274.58801317214966,4.9,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
11,test,5,0.4979,0.922,0.0057444400191307065,,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
12,train,6,,,274.3934243917465,4.9,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
13,test,6,,,,,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
14,train,7,,,274.31954205036163,4.9,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
15,test,7,,,,,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
16,train,8,,,274.1884933710098,5.0,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
17,test,8,,,,,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
18,train,9,0.52006,0.92974,274.10896718502045,4.9,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
19,test,9,0.4971,0.9232,0.005731456208229065,,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
0,train,0,0.51798,0.9303,274.1662859916687,5.0,4,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
1,test,0,0.4989,0.9219,0.005743865513801575,,4,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
2,train,1,,,273.9240348339081,5.0,4,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
3,test,1,,,,,4,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
4,train,2,,,273.6012923717499,5.0,4,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
5,test,2,,,,,4,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
6,train,3,,,273.6068207025528,4.9,4,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
7,test,3,,,,,4,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
8,train,4,,,273.5732328891754,5.0,4,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
9,test,4,,,,,4,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
10,train,5,0.52064,0.92978,273.37500727176666,5.0,4,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
11,test,5,0.5025,0.9207,0.005737666118144989,,4,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
12,train,6,,,273.49002611637115,4.9,4,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
13,test,6,,,,,4,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
14,train,7,,,273.25689911842346,5.0,4,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
15,test,7,,,,,4,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
16,train,8,,,273.5591632127762,5.1,4,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
17,test,8,,,,,4,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
18,train,9,0.51954,0.93062,273.2027156352997,5.5,4,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
19,test,9,0.4996,0.9213,0.005729774641990662,,4,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
0,train,0,0.5167,0.93094,273.3974151611328,4.9,5,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
1,test,0,0.4963,0.922,0.005735661208629608,,5,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
2,train,1,,,272.99495458602905,5.0,5,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
3,test,1,,,,,5,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
4,train,2,,,272.92073369026184,5.1,5,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
5,test,2,,,,,5,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
6,train,3,,,272.9583866596222,5.0,5,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
7,test,3,,,,,5,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
8,train,4,,,272.7538603544235,5.1,5,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
9,test,4,,,,,5,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
10,train,5,0.52072,0.93024,272.90701377391815,4.9,5,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
11,test,5,0.4986,0.921,0.005718938052654266,,5,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
12,train,6,,,272.74636006355286,4.9,5,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
13,test,6,,,,,5,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
14,train,7,,,272.71748089790344,5.1,5,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
15,test,7,,,,,5,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
16,train,8,,,272.49537992477417,4.9,5,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
17,test,8,,,,,5,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
18,train,9,0.51766,0.92988,272.5254557132721,5.0,5,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
19,test,9,0.4989,0.9197,0.005749346661567688,,5,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
0,train,0,0.50574,0.9253,286.3197931051254,5.1,0,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
1,test,0,0.4831,0.9142,0.005917309308052063,,0,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
2,train,1,,,282.572860956192,4.9,0,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
3,test,1,,,,,0,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
4,train,2,,,281.27193784713745,4.9,0,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
5,test,2,,,,,0,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
6,train,3,,,275.72116017341614,5.0,0,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
7,test,3,,,,,0,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
8,train,4,,,275.340616106987,5.0,0,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
9,test,4,,,,,0,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
10,train,5,0.5152,0.92884,274.4169638156891,5.0,0,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
11,test,5,0.4782,0.917,0.005873079180717469,,0,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
12,train,6,,,271.36925280094147,4.9,0,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
13,test,6,,,,,0,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
14,train,7,,,271.42196679115295,4.9,0,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
15,test,7,,,,,0,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
16,train,8,,,270.41369807720184,4.9,0,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
17,test,8,,,,,0,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
18,train,9,0.5294,0.93724,267.1382106542587,5.0,0,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
19,test,9,0.4868,0.9215,0.005761444330215454,,0,855050,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
0,train,0,0.54926,0.94036,258.84505581855774,4.9,1,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
1,test,0,0.5074,0.9277,0.005591587781906128,,1,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
2,train,1,,,257.67206847667694,4.9,1,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
3,test,1,,,,,1,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
4,train,2,,,257.34947407245636,5.1,1,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
5,test,2,,,,,1,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
6,train,3,,,257.19095408916473,4.9,1,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
7,test,3,,,,,1,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
8,train,4,,,256.8600159883499,5.2,1,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
9,test,4,,,,,1,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
10,train,5,0.54606,0.94026,256.5897080898285,5.5,1,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
11,test,5,0.5015,0.927,0.005632861053943634,,1,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
12,train,6,,,256.4859484434128,5.1,1,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
13,test,6,,,,,1,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
14,train,7,,,256.2291123867035,5.0,1,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
15,test,7,,,,,1,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
