,type,epoch,top1,top5,loss,time,layer,layer_params,optimizer,hidden_layer_dim,batch_size,invariant,model
8,train,4,,,278.4934003353119,12.4,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
9,test,4,,,,,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
10,train,5,0.52618,0.9287,276.7004737854004,13.3,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
11,test,5,0.4973,0.919,57.82846820354462,,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
12,train,6,,,275.180752158165,13.0,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
13,test,6,,,,,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
14,train,7,,,273.3036252260208,13.7,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
15,test,7,,,,,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
16,train,8,,,272.3530012369156,15.2,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
17,test,8,,,,,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
18,train,9,,,270.73006904125214,14.7,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
19,test,9,,,,,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
20,train,10,0.54022,0.93256,269.26107025146484,14.1,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
21,test,10,0.5064,0.9225,56.74870264530182,,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
0,train,0,0.53914,0.9338,268.47519993782043,13.3,3,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
1,test,0,0.5044,0.9235,56.67939329147339,,3,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
2,train,1,,,266.85744202136993,12.9,3,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
3,test,1,,,,,3,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
4,train,2,,,265.3191616535187,12.8,3,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
5,test,2,,,,,3,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
6,train,3,,,264.4316725730896,12.6,3,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
7,test,3,,,,,3,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
8,train,4,,,263.26087284088135,12.9,3,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
9,test,4,,,,,3,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
10,train,5,0.5501,0.9363,262.13556265830994,13.5,3,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
11,test,5,0.5088,0.9241,56.33546531200409,,3,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
12,train,6,,,260.78305888175964,12.7,3,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
13,test,6,,,,,3,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
14,train,7,,,259.6511263847351,12.6,3,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
15,test,7,,,,,3,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
16,train,8,,,258.29595267772675,15.0,3,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
17,test,8,,,,,3,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
18,train,9,,,257.24918282032013,13.2,3,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
19,test,9,,,,,3,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
20,train,10,0.5602,0.9406,255.7751488685608,13.2,3,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
21,test,10,0.5173,0.9242,55.577128648757935,,3,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
0,train,0,0.56632,0.94088,255.62786519527435,13.9,4,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
1,test,0,0.5196,0.9268,55.25224852561951,,4,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
2,train,1,,,253.92109894752502,14.3,4,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
3,test,1,,,,,4,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
4,train,2,,,253.24731922149658,12.7,4,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
5,test,2,,,,,4,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
6,train,3,,,252.58513462543488,13.3,4,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
7,test,3,,,,,4,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
8,train,4,,,251.01572906970978,12.9,4,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
9,test,4,,,,,4,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
10,train,5,0.57374,0.94396,249.9542167186737,13.3,4,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
11,test,5,0.5174,0.9289,54.871394753456116,,4,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
12,train,6,,,249.37370026111603,13.1,4,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
13,test,6,,,,,4,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
14,train,7,,,248.48662900924683,16.2,4,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
15,test,7,,,,,4,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
16,train,8,,,247.38805961608887,14.1,4,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
17,test,8,,,,,4,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
18,train,9,,,246.17917442321777,13.6,4,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
19,test,9,,,,,4,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
20,train,10,0.58312,0.94642,245.13576209545135,13.5,4,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
