,type,epoch,top1,top5,loss,time,grad_norm,network_norm,layer,round,trainable_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
3,test,1,0.968,0.999,0.00043052325323224066,,,,0,1,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.9879,0.9998833333333333,0.00018671484816198548,4.3,0.18134870151329405,36.48599627265946,0,1,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9692,0.9992,0.0004027330111712217,,,,0,1,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9878666666666667,0.9999,0.00018696988982458908,4.1,40.858595506461896,36.404091209910405,1,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9703,0.9991,0.00040028219930827617,,,,1,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9880666666666666,0.9999333333333333,0.0001877355112383763,4.2,47.055803146057784,36.32239114776038,1,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9703,0.9991,0.00039848147965967657,,,,1,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.98785,0.9998666666666667,0.00018835204105513792,4.1,55.712957601504485,36.24090476642254,1,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9708,0.9989,0.0003989849682897329,,,,1,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.98805,0.9998833333333333,0.00019016640388096372,4.2,18.748865807369686,36.15961456848639,2,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9703,0.9991,0.0004010058231651783,,,,2,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9883,0.9998833333333333,0.0001901309767117103,4.2,21.290279466603632,36.0785444046117,2,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9694,0.9992,0.0004045258566737175,,,,2,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.9881166666666666,0.9999166666666667,0.00019189075399190188,4.5,24.830548760403396,35.997680844175214,2,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9698,0.999,0.00040531733632087705,,,,2,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9903833333333333,0.9999333333333333,0.00015889672640090186,4.2,0.2630669091835252,37.053725442346796,0,2,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9708,0.999,0.0003879978202283382,,,,0,2,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9914166666666666,0.9999666666666667,0.00013714711552796264,4.4,0.2506518036137873,37.98742468117901,0,2,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9717,0.9992,0.0003893293425440788,,,,0,2,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.9937666666666667,0.9999666666666667,0.00011498515376200279,4.3,0.2176078213891629,38.871174053332524,0,2,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9727,0.9993,0.000370905527472496,,,,0,2,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9938666666666667,0.9999833333333333,0.00011528097751239936,4.1,59.37047133080023,38.783183743703624,1,2,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9715,0.9992,0.00037257321178913117,,,,1,2,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9933,0.9999833333333333,0.00011673268523688117,4.3,65.64407369115366,38.69543274802197,1,2,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9726,0.9992,0.00037034587152302265,,,,1,2,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.99345,0.9999833333333333,0.00011737031852826475,4.2,73.31000588192681,38.6078951514112,1,2,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9732,0.9994,0.0003693918388336897,,,,1,2,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9938833333333333,0.9999833333333333,0.0001166007766344895,4.2,26.070887495204833,38.5205836266774,2,2,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9727,0.9993,0.0003646455064415932,,,,2,2,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9935666666666667,0.9999833333333333,0.00011926726602638761,4.3,28.200275495399868,38.433486454210026,2,2,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.974,0.9993,0.00036507519260048864,,,,2,2,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.99425,0.9999833333333333,0.00011771879565591614,4.2,30.9980554361315,38.34661540901228,2,2,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9735,0.9991,0.0003698953799903393,,,,2,2,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9951833333333333,0.9999833333333333,9.70549539818118e-05,4.3,0.15617496172906822,39.3684651272268,0,3,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9745,0.9991,0.0003572034085169435,,,,0,3,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9955,1.0,8.766760809036593e-05,4.3,0.16294327680317472,40.225894439299985,0,3,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9734,0.9991,0.0003714498220011592,,,,0,3,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.99675,1.0,7.343573393300175e-05,4.4,0.15628268653659985,41.04658566048667,0,3,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9727,0.9992,0.00036382489204406736,,,,0,3,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9971,1.0,7.34455050357307e-05,4.3,74.94950467621476,40.95310658397329,1,3,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9735,0.9993,0.00036536506544798615,,,,1,3,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9967,1.0,7.408465875002246e-05,4.2,77.37093270065111,40.859849759140204,1,3,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9735,0.999,0.0003623885951936245,,,,1,3,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.9968833333333333,1.0,7.430703760279964e-05,4.3,80.85047229787175,40.76683927761963,1,3,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9738,0.9993,0.00035594095308333633,,,,1,3,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.99685,1.0,7.521425612115612e-05,4.2,31.859657349982932,40.67405477865385,2,3,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9722,0.9992,0.0003703159000724554,,,,2,3,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.99685,1.0,7.61752892518416e-05,4.2,33.22137578271551,40.581506588885865,2,3,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9736,0.9993,0.00035788758657872676,,,,2,3,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.99695,1.0,7.59329703869298e-05,4.3,35.29696915948104,40.489202379843334,2,3,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9739,0.9993,0.00035729167237877845,,,,2,3,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9973,1.0,6.610087800460558e-05,4.7,0.12345483060884853,41.48697736589849,0,4,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
