,type,epoch,top1,top5,loss,time,trainable_params,round,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
0,train,0,0.9685833333333334,0.99925,0.000444193110242486,4.0,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
1,test,0,0.9616,0.9987,0.0005297487005591393,,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
2,train,1,0.98175,0.9997666666666667,0.00027399216225991647,4.1,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
3,test,1,0.9694,0.9992,0.00042337454445660113,,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
4,train,2,0.9879166666666667,0.9999166666666667,0.00018895246054356296,3.9,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
5,test,2,0.9744,0.9995,0.0003617702167481184,,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
6,train,3,0.9916333333333334,0.9999666666666667,0.00014092774079181255,4.0,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
7,test,3,0.9756,0.9995,0.00033348909094929694,,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
8,train,4,0.9943833333333333,0.9999666666666667,0.00010548696961874764,4.0,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
9,test,4,0.9773,0.9995,0.0003130796452984214,,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
10,train,5,0.9964,0.9999833333333333,8.115480615136524e-05,4.0,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
11,test,5,0.9785,0.9996,0.00030503493137657643,,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
12,train,6,0.99745,0.9999833333333333,6.653366587124765e-05,4.3,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
13,test,6,0.9791,0.9995,0.00029797219410538674,,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
14,train,7,0.9984,1.0,4.691804764637103e-05,4.1,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
15,test,7,0.9795,0.9998,0.0002915661307051778,,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
16,train,8,0.9985666666666667,1.0,4.26654005345578e-05,4.0,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
17,test,8,0.9804,0.9997,0.0002908952280879021,,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
18,train,9,0.9991,1.0,3.4194976813159884e-05,4.0,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
19,test,9,0.9784,0.9998,0.00029582853596657515,,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
20,train,10,0.9993666666666666,1.0,2.840065786537404e-05,4.0,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
21,test,10,0.9803,0.9997,0.00028172148773446677,,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
22,train,11,0.9990666666666667,1.0,2.6711434098736692e-05,4.0,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
23,test,11,0.9787,0.9998,0.00029767469055950644,,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
24,train,12,0.9995166666666667,1.0,2.2643211140530183e-05,4.1,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
25,test,12,0.98,0.9998,0.0002878016537055373,,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
26,train,13,0.9995833333333334,1.0,2.0199106788883608e-05,4.1,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
27,test,13,0.9799,0.9997,0.00029440118866041305,,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
28,train,14,0.9998,1.0,1.4932328338424365e-05,4.1,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
29,test,14,0.9814,0.9999,0.00028692435268312693,,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
30,train,15,0.9998666666666667,1.0,1.3420239403300608e-05,4.1,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
31,test,15,0.9801,0.9998,0.00028766651302576066,,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
32,train,16,0.9998166666666667,1.0,1.1828734878023776e-05,4.0,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
33,test,16,0.9802,0.9998,0.00029350272025913,,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
34,train,17,0.9998666666666667,1.0,1.0561293521701979e-05,4.1,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
35,test,17,0.9798,0.9998,0.00030838026851415636,,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
36,train,18,0.9999,1.0,8.890598674770444e-06,3.9,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
37,test,18,0.9802,0.9999,0.0003107736140489578,,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
38,train,19,0.9999333333333333,1.0,8.48670833123227e-06,4.1,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
39,test,19,0.9805,0.9998,0.00031331167705357074,,928800,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
0,train,0,0.9993,1.0,1.6435382740261655e-05,4.0,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
1,test,0,0.9787,0.9996,0.00032258242489770054,,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
2,train,1,0.99875,1.0,2.2474667374626735e-05,3.9,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
3,test,1,0.9791,0.9998,0.0003608178675174713,,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
4,train,2,0.9993833333333333,1.0,1.4011007009927805e-05,3.9,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
5,test,2,0.9784,0.9998,0.0003501586478203535,,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
6,train,3,0.9998666666666667,1.0,7.470341902808286e-06,4.0,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
7,test,3,0.982,0.9996,0.00031962615586817264,,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
8,train,4,0.9997166666666667,1.0,8.451091202247578e-06,4.0,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
9,test,4,0.9808,0.9997,0.0003347467170096934,,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
10,train,5,0.9999,1.0,4.733053699116378e-06,4.1,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
11,test,5,0.9809,0.9997,0.00033743730587884786,,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
12,train,6,0.9992166666666666,1.0,1.4113214857449444e-05,4.3,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
13,test,6,0.9782,0.9998,0.00037263253852725027,,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
14,train,7,0.9995666666666667,1.0,1.0556058739409006e-05,4.0,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
15,test,7,0.9795,0.9999,0.0003761955101042986,,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
16,train,8,0.9999833333333333,1.0,3.4823863939285124e-06,4.0,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
17,test,8,0.9799,0.9998,0.0003606102764606476,,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
18,train,9,1.0,1.0,2.5224352578031055e-06,4.1,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
19,test,9,0.9805,0.9998,0.0003619946693070233,,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
20,train,10,0.9998166666666667,1.0,4.290666949236766e-06,4.1,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
21,test,10,0.9816,0.9999,0.0003506166792474687,,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
22,train,11,0.9998166666666667,1.0,4.23988581969752e-06,3.9,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
23,test,11,0.9806,0.9999,0.00034534566309303046,,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
24,train,12,0.9995666666666667,1.0,7.959415060395258e-06,4.0,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
25,test,12,0.9812,0.9998,0.000345568719971925,,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
26,train,13,0.9991833333333333,1.0,1.1931871408887673e-05,4.1,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
27,test,13,0.9792,0.9999,0.00038459603507071734,,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
28,train,14,0.9982833333333333,1.0,2.1690104914887342e-05,4.0,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
29,test,14,0.9767,0.9996,0.00044547463841736315,,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
30,train,15,0.9997166666666667,1.0,6.995999468441975e-06,4.0,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
31,test,15,0.9796,0.9999,0.0004038756354013458,,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
32,train,16,0.9999,1.0,3.020168258929819e-06,4.0,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
33,test,16,0.9805,0.9997,0.0003876998664811254,,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
34,train,17,0.9997166666666667,1.0,5.21165986986792e-06,4.0,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
35,test,17,0.9802,0.9998,0.0003886498235166073,,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
36,train,18,0.99995,1.0,2.0713879478231926e-06,3.9,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
37,test,18,0.9802,0.9998,0.00039509650776162745,,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
38,train,19,0.9998333333333334,1.0,4.742381867739217e-06,4.1,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
39,test,19,0.9809,0.9998,0.0004067458778619766,,928800,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
0,train,0,0.9994833333333333,1.0,7.970840546840918e-06,4.1,928800,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
1,test,0,0.9793,0.9998,0.0004184320429340005,,928800,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
2,train,1,0.99965,1.0,5.9993489022114466e-06,3.9,928800,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
3,test,1,0.9797,0.9997,0.00042968788240104914,,928800,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
4,train,2,0.9998833333333333,1.0,3.348315495532006e-06,4.0,928800,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
5,test,2,0.9807,0.9998,0.00038730487488210203,,928800,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
6,train,3,0.9995333333333334,1.0,7.068009059851951e-06,4.0,928800,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
7,test,3,0.9793,0.9997,0.000446744785271585,,928800,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
8,train,4,0.9996333333333334,1.0,6.098217325901108e-06,4.1,928800,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
9,test,4,0.9812,0.9997,0.0004235384028404951,,928800,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
10,train,5,0.9998166666666667,1.0,3.028811355882984e-06,3.9,928800,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
11,test,5,0.9805,0.9998,0.0004071661375463009,,928800,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
12,train,6,0.9999666666666667,1.0,1.650213803168299e-06,4.4,928800,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
13,test,6,0.9805,0.9997,0.00041025196816772225,,928800,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
14,train,7,0.9998833333333333,1.0,2.5668765478864468e-06,4.0,928800,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
15,test,7,0.9798,0.9997,0.0004295999601483345,,928800,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
16,train,8,0.9996,1.0,5.566501725600877e-06,3.9,928800,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
17,test,8,0.9784,0.9998,0.00044009078536182643,,928800,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
18,train,9,0.99975,1.0,4.403778029033371e-06,4.0,928800,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
19,test,9,0.9788,0.9998,0.00042969840615987776,,928800,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
20,train,10,0.9995333333333334,1.0,6.5047064988903005e-06,4.0,928800,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
21,test,10,0.979,0.9996,0.00044015143774449826,,928800,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
22,train,11,0.9998833333333333,1.0,3.2629482018819544e-06,4.0,928800,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
23,test,11,0.9806,0.9997,0.0004378100214293227,,928800,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
24,train,12,0.9997833333333334,1.0,4.66105448849703e-06,4.1,928800,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
25,test,12,0.9792,0.9997,0.00046689575277268885,,928800,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
26,train,13,0.9991,1.0,1.2181567118508004e-05,4.1,928800,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
27,test,13,0.9771,0.9998,0.0005108591923490167,,928800,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
28,train,14,0.9999666666666667,1.0,2.1670088065851208e-06,4.0,928800,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
29,test,14,0.9797,0.9998,0.0004534157066140324,,928800,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
30,train,15,0.9997833333333334,1.0,3.2823644896780024e-06,4.0,928800,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
