,type,epoch,top1,top5,loss,time,layer,round,trainable_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
0,train,0,0.2924833333333333,0.7467166666666667,0.008259558753172556,4.0,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
1,test,0,0.2889,0.741,0.00828726179599762,,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
2,train,1,0.36175,0.79535,0.0077179872890313465,4.1,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
3,test,1,0.3612,0.7924,0.007717667305469513,,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
4,train,2,0.38595,0.81305,0.007468873878320058,4.1,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
5,test,2,0.3855,0.8116,0.0074409576416015625,,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
6,train,3,0.39625,0.8285333333333333,0.007287179448207219,4.0,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
7,test,3,0.3986,0.831,0.007241072499752045,,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
8,train,4,0.4055,0.8350833333333333,0.0071874145607153574,4.1,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
9,test,4,0.4076,0.8375,0.007131876826286316,,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
0,train,0,0.40541666666666665,0.8349,0.007188697357972463,4.5,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
1,test,0,0.4071,0.8377,0.007132475697994232,,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
2,train,1,0.40553333333333336,0.8347166666666667,0.00718936204512914,3.9,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
3,test,1,0.4075,0.837,0.00713335428237915,,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
4,train,2,0.4051666666666667,0.8348333333333333,0.0071908112068971,4.0,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
5,test,2,0.4077,0.8377,0.007135726726055145,,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
6,train,3,0.40531666666666666,0.8348666666666666,0.007192618719736735,4.0,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
7,test,3,0.4073,0.8375,0.007137535381317139,,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
8,train,4,0.40585,0.8346833333333333,0.007193145968516668,4.2,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
9,test,4,0.4076,0.8369,0.007139159655570984,,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
0,train,0,0.40568333333333334,0.8351,0.007194772833585739,4.0,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
1,test,0,0.4082,0.8381,0.007140445625782013,,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
2,train,1,0.40571666666666667,0.83505,0.0071959070801734925,3.9,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
3,test,1,0.4073,0.8378,0.0071417885065078734,,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
4,train,2,0.40528333333333333,0.8350166666666666,0.007197628980875015,4.1,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
5,test,2,0.4081,0.838,0.007144240653514862,,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
6,train,3,0.40541666666666665,0.8349666666666666,0.00719918396671613,4.1,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
7,test,3,0.4077,0.8378,0.007145613157749176,,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
8,train,4,0.40565,0.8349666666666666,0.007200982544819514,4.0,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
9,test,4,0.4082,0.8373,0.007147702383995056,,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
0,train,0,0.41146666666666665,0.8396,0.00711962177157402,4.1,0,1,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
1,test,0,0.4149,0.8419,0.007058102595806122,,0,1,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
2,train,1,0.41965,0.84095,0.00705753692984581,4.2,0,1,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
3,test,1,0.4235,0.8434,0.0069921077489852905,,0,1,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
4,train,2,0.42168333333333335,0.8473333333333334,0.006997008975346883,4.1,0,1,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
5,test,2,0.4247,0.8514,0.006929568886756897,,0,1,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
6,train,3,0.42465,0.85095,0.006945685879389445,4.0,0,1,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
7,test,3,0.4301,0.8564,0.006871775257587433,,0,1,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
8,train,4,0.42805,0.8554333333333334,0.006900296779473623,3.9,0,1,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CNN,5,CNN,layerwise,CNN_layerwise
