,type,epoch,top1,top5,loss,time,layer,round,trainable_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
0,train,0,0.4842,0.91018,0.006195382342338562,16.9,0,0,1579520,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
1,test,0,0.4385,0.8883,0.006893211817741394,,0,0,1579520,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
2,train,1,0.54418,0.93268,0.005467577445507049,13.4,0,0,1579520,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
3,test,1,0.4702,0.9017,0.006592216765880584,,0,0,1579520,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
4,train,2,0.58152,0.94294,0.005111190350055694,14.3,0,0,1579520,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
5,test,2,0.4929,0.9058,0.006547415983676911,,0,0,1579520,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
6,train,3,0.61508,0.9553,0.0045708269703388215,13.5,0,0,1579520,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
7,test,3,0.4882,0.9104,0.006373509693145752,,0,0,1579520,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
8,train,4,0.65042,0.96492,0.004176236947774887,13.4,0,0,1579520,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
9,test,4,0.4992,0.9156,0.006229264521598816,,0,0,1579520,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
0,train,0,0.65038,0.96496,0.004173320722579956,14.0,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
1,test,0,0.4968,0.9155,0.00621525104045868,,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
2,train,1,0.6512,0.96544,0.004169080595970154,13.4,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
3,test,1,0.4993,0.9174,0.006209670436382294,,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
4,train,2,0.64936,0.96532,0.004168492827415466,13.6,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
5,test,2,0.4996,0.9161,0.006201961588859558,,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
6,train,3,0.65128,0.96566,0.004166441717147827,13.8,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
7,test,3,0.501,0.9165,0.00618975043296814,,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
8,train,4,0.6511,0.96498,0.004169273917675019,13.6,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
9,test,4,0.4954,0.9166,0.0061878615856170655,,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
0,train,0,0.64956,0.96498,0.004171545164585113,15.2,2,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
1,test,0,0.4972,0.917,0.006179711472988129,,2,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
2,train,1,0.65074,0.96576,0.004167116426229477,13.4,2,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
3,test,1,0.4984,0.9174,0.006164152622222901,,2,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
4,train,2,0.65072,0.96524,0.004167456698417664,13.7,2,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
5,test,2,0.4991,0.9177,0.006170049560070038,,2,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
6,train,3,0.65136,0.96544,0.00416617423415184,14.1,2,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
7,test,3,0.4972,0.9162,0.00615388754606247,,2,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
8,train,4,0.65282,0.96518,0.004161977214813232,13.2,2,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
