,type,epoch,top1,top5,loss,time,network_norm,trainable_params,round,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
13,test,6,0.3971,0.8669,0.006886149477958679,,,75654,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,backprop,CNN_backprop
14,train,7,0.40736,0.86952,0.006796923990249634,6.1,19.8384149593485,75654,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,backprop,CNN_backprop
15,test,7,0.3954,0.8671,0.006883921086788178,,,75654,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,backprop,CNN_backprop
16,train,8,0.40626,0.87162,0.006795742118358612,6.1,19.85256787379501,75654,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,backprop,CNN_backprop
17,test,8,0.3981,0.8658,0.006897982239723205,,,75654,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,backprop,CNN_backprop
18,train,9,0.41042,0.86964,0.006795947096347809,6.1,19.86836662155502,75654,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,backprop,CNN_backprop
19,test,9,0.3975,0.8643,0.006887620532512665,,,75654,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,backprop,CNN_backprop
20,train,10,0.40668,0.87122,0.006797787766456604,6.1,19.88478183001866,75654,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,backprop,CNN_backprop
21,test,10,0.395,0.8661,0.006896127605438233,,,75654,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,backprop,CNN_backprop
22,train,11,0.40894,0.86906,0.0067938328123092655,6.1,19.89800546193231,75654,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,backprop,CNN_backprop
23,test,11,0.3979,0.8654,0.006899754738807678,,,75654,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,backprop,CNN_backprop
24,train,12,0.41,0.86862,0.006796639060974121,6.1,19.91081236626375,75654,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,backprop,CNN_backprop
25,test,12,0.3984,0.8687,0.0068947383165359494,,,75654,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,backprop,CNN_backprop
26,train,13,0.40988,0.86922,0.006789961996078491,6.1,19.929226447542472,75654,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,backprop,CNN_backprop
27,test,13,0.3992,0.8665,0.0068902438759803775,,,75654,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,backprop,CNN_backprop
28,train,14,0.40956,0.87092,0.00678657299041748,6.1,19.940754935110835,75654,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,backprop,CNN_backprop
29,test,14,0.3983,0.8658,0.0069010581493377686,,,75654,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,backprop,CNN_backprop
30,train,15,0.40978,0.8712,0.0067860510373115536,6.1,19.956760441333525,75654,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,backprop,CNN_backprop
31,test,15,0.4014,0.866,0.006884593558311463,,,75654,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,backprop,CNN_backprop
32,train,16,0.40768,0.86968,0.006799315133094788,6.1,19.97241621425245,75654,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,backprop,CNN_backprop
33,test,16,0.3954,0.8679,0.0069026859164237975,,,75654,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,backprop,CNN_backprop
34,train,17,0.41012,0.87018,0.00678108857870102,6.1,19.984496692274444,75654,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,backprop,CNN_backprop
35,test,17,0.3997,0.8661,0.0068832159399986265,,,75654,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,backprop,CNN_backprop
36,train,18,0.40782,0.8707,0.00678929162979126,6.1,20.00384271819216,75654,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,backprop,CNN_backprop
37,test,18,0.3974,0.8681,0.006881183934211731,,,75654,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,backprop,CNN_backprop
38,train,19,0.40972,0.86972,0.0067913237881660465,6.1,20.01574814671784,75654,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,backprop,CNN_backprop
39,test,19,0.3973,0.8652,0.0068898566365242,,,75654,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,backprop,CNN_backprop
