,Unnamed: 0,Unnamed: 0.1,type,epoch,top1,top5,loss,time,layer,round,trainable_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
23,23,23,test,11,0.4095,0.8506,0.0069187290787696,,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
24,24,24,train,12,0.4138333333333333,0.8565833333333334,0.0068997747182846,4.1,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
25,25,25,test,12,0.4102,0.852,0.0068958720445632,,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
26,26,26,train,13,0.4135333333333333,0.8592666666666666,0.0068855706671873,4.0,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
27,27,27,test,13,0.4098,0.8539,0.0068760472536087,,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
28,28,28,train,14,0.41475,0.8593666666666666,0.0068709098597367,4.1,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
29,29,29,test,14,0.4129,0.8565,0.0068617709994316,,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
30,30,30,train,15,0.4148333333333333,0.8605666666666667,0.0068613079686959,4.1,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
31,31,31,test,15,0.4121,0.8558,0.0068524238467216,,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
32,32,32,train,16,0.4210833333333333,0.8584,0.0068517123162746,4.1,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
33,33,33,test,16,0.4181,0.855,0.0068400809884071,,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
34,34,34,train,17,0.4176,0.8612,0.0068429063518842,4.1,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
35,35,35,test,17,0.4163,0.8576,0.0068300211548805,,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
36,36,36,train,18,0.4214666666666666,0.8595,0.0068360198199748,4.1,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
37,37,37,test,18,0.42,0.8572,0.0068218072652816,,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
38,38,38,train,19,0.41845,0.8614666666666667,0.0068287882824738,4.1,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
39,39,39,test,19,0.4176,0.8598,0.0068139291763305,,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
40,40,0,train,0,0.4185333333333333,0.8616666666666667,0.0068302241047223,4.1,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
41,41,1,test,0,0.4173,0.859,0.0068146245002746,,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
42,42,2,train,1,0.41845,0.8616,0.0068299074927965,4.1,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
43,43,3,test,1,0.4172,0.8597,0.0068168555140495,,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
44,44,4,train,2,0.4185166666666666,0.8616666666666667,0.0068309921562671,4.1,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
45,45,5,test,2,0.4175,0.8585,0.0068170845270156,,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
46,46,6,train,3,0.4182666666666667,0.8616166666666667,0.0068322687129179,4.0,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
47,47,7,test,3,0.4163,0.8595,0.0068193798661232,,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
48,48,8,train,4,0.4180833333333333,0.86165,0.006833198048671,4.1,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
49,49,9,test,4,0.4162,0.8589,0.0068202879428863,,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
50,50,10,train,5,0.41845,0.8616166666666667,0.0068348727146784,4.0,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
51,51,11,test,5,0.4169,0.8588,0.0068216538548469,,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
52,52,12,train,6,0.41815,0.8615333333333334,0.0068361972431341,4.0,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
53,53,13,test,6,0.4171,0.8598,0.006821640086174,,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
54,54,14,train,7,0.4177,0.8615,0.0068374622603257,4.2,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
55,55,15,test,7,0.416,0.8588,0.0068236521959304,,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
56,56,16,train,8,0.4184,0.8619,0.0068382394830385,4.1,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
57,57,17,test,8,0.4159,0.8597,0.0068258197546005,,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
58,58,18,train,9,0.41805,0.8623333333333333,0.0068397948940594,4.3,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
59,59,19,test,9,0.4165,0.8595,0.0068283687353134,,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
60,60,20,train,10,0.41805,0.8616833333333334,0.0068419031262397,4.1,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
61,61,21,test,10,0.4167,0.8598,0.0068289609909057,,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
62,62,22,train,11,0.4176333333333333,0.8619166666666667,0.0068430154641469,4.0,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
63,63,23,test,11,0.4179,0.8599,0.0068297869682312,,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
