,type,epoch,top1,top5,loss,time,trainable_params,round,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
0,train,0,0.4987666666666667,0.8672333333333333,0.006919094441334406,4.2,74498,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
1,test,0,0.5095,0.8784,0.006847990798950195,,74498,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
2,train,1,0.59605,0.9218666666666666,0.005438066548109055,4.2,74498,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
3,test,1,0.6043,0.9275,0.005353800427913666,,74498,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
4,train,2,0.6493166666666667,0.94565,0.00461907493074735,4.4,74498,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
5,test,2,0.6564,0.951,0.0045313197433948516,,74498,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
6,train,3,0.6830166666666667,0.95665,0.0041316553274790445,4.2,74498,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
7,test,3,0.6892,0.9613,0.004049562579393387,,74498,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
8,train,4,0.7068,0.9630833333333333,0.0038058791756629944,4.2,74498,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
9,test,4,0.7118,0.9673,0.0037278533935546877,,74498,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
0,train,0,0.7240333333333333,0.9682666666666667,0.00354340692559878,4.4,74498,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
1,test,0,0.7282,0.9706,0.0034609635531902315,,74498,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
2,train,1,0.7358666666666667,0.9712666666666666,0.003371662592887878,4.7,74498,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
3,test,1,0.7406,0.974,0.0032867052674293517,,74498,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
4,train,2,0.7460333333333333,0.973,0.003233893272280693,4.3,74498,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
5,test,2,0.754,0.9752,0.003147180610895157,,74498,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
6,train,3,0.7531333333333333,0.9748,0.00313983650803566,4.2,74498,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
7,test,3,0.763,0.9775,0.003047852486371994,,74498,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
8,train,4,0.7581,0.9756166666666667,0.003068286727865537,4.3,74498,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
9,test,4,0.7671,0.9778,0.0029729751348495483,,74498,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
0,train,0,0.7624,0.9767666666666667,0.0030055852552254994,4.1,74498,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
1,test,0,0.7695,0.9788,0.002907045894861221,,74498,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
2,train,1,0.7675,0.97745,0.002952700822552045,4.3,74498,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
3,test,1,0.772,0.9794,0.002853954070806503,,74498,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
4,train,2,0.77135,0.9779,0.002910689839720726,4.3,74498,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
5,test,2,0.7766,0.9795,0.002811762297153473,,74498,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
6,train,3,0.77505,0.9780333333333333,0.002866758581995964,4.3,74498,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
7,test,3,0.7801,0.9795,0.0027675788700580596,,74498,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
8,train,4,0.77785,0.9788166666666667,0.002835420506199201,4.2,74498,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
9,test,4,0.7815,0.9813,0.002738257396221161,,74498,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
0,train,0,0.78035,0.9791333333333333,0.002802214076121648,4.3,74498,3,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
1,test,0,0.7825,0.9816,0.002707892471551895,,74498,3,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
2,train,1,0.7824666666666666,0.9793666666666667,0.0027761366367340086,4.3,74498,3,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
3,test,1,0.7857,0.9816,0.00267134747505188,,74498,3,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
4,train,2,0.7848,0.9798333333333333,0.0027516662319501243,4.2,74498,3,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
5,test,2,0.7873,0.9823,0.0026521168828010557,,74498,3,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
6,train,3,0.78625,0.9802833333333333,0.002733579567074776,4.3,74498,3,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
7,test,3,0.7898,0.9818,0.0026356493473052977,,74498,3,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
8,train,4,0.7872666666666667,0.9807,0.0027180801123380663,4.3,74498,3,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
9,test,4,0.7908,0.982,0.002614066818356514,,74498,3,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,backprop,CNN_backprop
