,type,epoch,top1,top5,loss,time,layer,round,trainable_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
0,train,0,0.9689166666666666,0.9992833333333333,0.00044246658980846403,7.4,0,0,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9602,0.9987,0.0005360208809375763,,0,0,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9810666666666666,0.9997833333333334,0.0002782804553086559,7.5,0,0,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9695,0.9988,0.0004081603441387415,,0,0,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,3,MLP,layerwise,MLP_layerwise
4,train,2,0.9880833333333333,0.9999333333333333,0.00018716363376006484,7.2,0,0,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,3,MLP,layerwise,MLP_layerwise
5,test,2,0.973,0.9992,0.00035184038802981376,,0,0,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9885333333333334,0.9999333333333333,0.00018791312001024683,7.1,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9739,0.999,0.0003546266846358776,,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9885833333333334,0.9999,0.00018889332752053937,7.3,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9735,0.9992,0.0003524872470647097,,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,3,MLP,layerwise,MLP_layerwise
4,train,2,0.9888,0.9999166666666667,0.00019060062045852342,7.0,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9733,0.9994,0.0003519832789897919,,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9883,0.9999166666666667,0.00019193850156540672,7.2,2,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9743,0.9994,0.000352970577031374,,2,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9884666666666667,0.9999166666666667,0.0001924842026705543,7.0,2,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9744,0.9991,0.00035718498919159173,,2,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,3,MLP,layerwise,MLP_layerwise
4,train,2,0.9887,0.9999333333333333,0.00019208125645915668,7.4,2,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9739,0.9994,0.0003566199898719788,,2,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,3,MLP,layerwise,MLP_layerwise
0,train,0,0.99095,0.9999666666666667,0.00014497851259075105,6.9,0,1,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9755,0.9994,0.0003457644797861576,,0,1,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9938666666666667,0.9999833333333333,0.00010115292811145386,6.8,0,1,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9759,0.9995,0.0003387269452214241,,0,1,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,3,MLP,layerwise,MLP_layerwise
4,train,2,0.9969,0.9999833333333333,7.279219190434863e-05,6.8,0,1,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,3,MLP,layerwise,MLP_layerwise
