,type,epoch,top1,top5,loss,time,trainable_params,round,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
0,train,0,0.9535,0.9980666666666667,0.0006575960711886485,7.5,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
1,test,0,0.9507,0.9974,0.0007050794363021851,,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
2,train,1,0.9689,0.9991666666666666,0.00044923155220846333,7.1,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
3,test,1,0.9602,0.9983,0.0005508519552648067,,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
4,train,2,0.9762333333333333,0.99955,0.0003471319604665041,7.2,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
5,test,2,0.9653,0.9986,0.0004723231792449951,,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
6,train,3,0.98225,0.9996166666666667,0.0002798226839862764,7.2,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
7,test,3,0.9684,0.9989,0.00042323232740163803,,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
8,train,4,0.98455,0.99975,0.00022994475138063232,7.5,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
9,test,4,0.9709,0.9988,0.0004053613416850567,,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
10,train,5,0.98765,0.9998166666666667,0.00019122960986569523,7.1,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
11,test,5,0.9734,0.9987,0.0003775700695812702,,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_hld128_rounds5_epochs20_MNIST,20,MLP,backprop,MLP_backprop
