,type,epoch,top1,top5,loss,time,layer,round,trainable_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
0,train,0,0.9543833333333334,0.9983166666666666,0.0006455393756429355,7.8,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
1,test,0,0.9497,0.9985,0.0006828789159655571,,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
2,train,1,0.96995,0.99925,0.00043670605178922414,6.6,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
3,test,1,0.9604,0.9988,0.0005242805801331997,,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
4,train,2,0.9771,0.9996666666666667,0.0003407364334290226,6.9,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
5,test,2,0.9664,0.9991,0.00045821363143622873,,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
6,train,3,0.9824333333333334,0.9997833333333334,0.00027281721330558263,6.8,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
7,test,3,0.9701,0.9991,0.00040494644567370415,,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
8,train,4,0.9849833333333333,0.9998333333333334,0.00022521822325264414,7.0,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
9,test,4,0.9703,0.9991,0.000395089016109705,,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
0,train,0,0.9853166666666666,0.9998333333333334,0.0002227953168253104,7.2,1,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
1,test,0,0.9712,0.9991,0.0003885540146380663,,1,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
2,train,1,0.9852833333333333,0.9997833333333334,0.00022603411081557472,6.7,1,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
3,test,1,0.9712,0.9993,0.00039066772647202016,,1,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
4,train,2,0.9852166666666666,0.9998666666666667,0.00022762707167615494,6.7,1,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
5,test,2,0.9701,0.9992,0.0003946412023156881,,1,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
6,train,3,0.9853166666666666,0.99985,0.00022862554350867867,6.9,1,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
7,test,3,0.9713,0.9993,0.0003916214369237423,,1,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
8,train,4,0.9852333333333333,0.9998166666666667,0.00022898744633421302,6.8,1,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
9,test,4,0.9717,0.9993,0.00039451156668365004,,1,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
0,train,0,0.98505,0.9998833333333333,0.0002292434371697406,7.6,2,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
1,test,0,0.9712,0.9992,0.0003985482536256313,,2,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
2,train,1,0.9849333333333333,0.9998333333333334,0.00023042098690445224,7.6,2,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
3,test,1,0.9725,0.9992,0.0003897313859313726,,2,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
4,train,2,0.9847,0.9998333333333334,0.00023331472221761943,8.2,2,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
5,test,2,0.9702,0.9993,0.00039720378667116164,,2,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
6,train,3,0.9851666666666666,0.9998666666666667,0.0002322786470875144,8.6,2,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
7,test,3,0.9714,0.9993,0.0003968103107064962,,2,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
8,train,4,0.9851666666666666,0.9998333333333334,0.0002357545773498714,7.2,2,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
9,test,4,0.9699,0.9991,0.00039558573849499226,,2,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
0,train,0,0.9869833333333333,0.9998833333333333,0.00019746829600383837,6.8,0,1,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
1,test,0,0.97,0.9992,0.00037942270375788213,,0,1,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
2,train,1,0.9901166666666666,0.9999666666666667,0.00015997492253469925,8.3,0,1,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
3,test,1,0.974,0.9992,0.0003603575922548771,,0,1,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
4,train,2,0.9923666666666666,0.9999666666666667,0.00013136355760507286,7.9,0,1,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
5,test,2,0.9735,0.9993,0.0003552368415519595,,0,1,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
6,train,3,0.9936666666666667,0.9999666666666667,0.00011094924314723661,6.7,0,1,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
7,test,3,0.9743,0.9994,0.00033901555947959424,,0,1,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
8,train,4,0.9953833333333333,0.9999666666666667,9.232713282108307e-05,6.7,0,1,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
9,test,4,0.9744,0.9994,0.00033317348510026934,,0,1,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
0,train,0,0.99485,0.9999666666666667,9.505374287255108e-05,6.9,1,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
1,test,0,0.975,0.9993,0.0003422459207475185,,1,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
2,train,1,0.995,0.9999666666666667,9.584944709204138e-05,7.9,1,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
3,test,1,0.976,0.9994,0.0003338449865579605,,1,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
4,train,2,0.9948833333333333,0.9999666666666667,9.515785008358459e-05,8.9,1,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
5,test,2,0.9756,0.9996,0.00033064598105847834,,1,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
6,train,3,0.99515,0.9999833333333333,9.503967741814752e-05,7.9,1,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
7,test,3,0.9749,0.9993,0.0003328977293334901,,1,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
8,train,4,0.9949666666666667,0.9999666666666667,9.733500936999916e-05,7.9,1,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
9,test,4,0.9763,0.9992,0.00033189867958426474,,1,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
0,train,0,0.99505,0.9999833333333333,9.677170335004727e-05,7.9,2,1,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,5,MLP,layerwise,MLP_layerwise
